puzzleId	word	row	column	direction	clueContent
000071	SIXTIES	2	1	across	NA
000071	TOY	3	1	across	NA
000071	WAP	3	5	across	NA
000071	AT	4	1	across	NA
000071	SORE	4	4	across	NA
000071	TACT	5	1	across	NA
000071	NR	5	6	across	NA
000071	E	6	1	across	NA
000071	HAREM	6	3	across	NA
000071	WAITER	7	1	across	NA
000071	INCUR	8	1	across	NA
000071	Y	8	7	across	NA
000071	DT	9	1	across	NA
000071	EURO	9	4	across	NA
000071	EIS	10	1	across	NA
000071	NAN	10	5	across	NA
000071	STATEWIDE	1	2	down	NA
000071	IOTA	1	3	down	NA
000071	ANTI	6	3	down	NA
000071	XY	1	4	down	NA
000071	CHIC	4	4	down	NA
000071	S	9	4	down	NA
000071	T	1	5	down	NA
000071	STATUE	3	5	down	NA
000071	IWO	1	6	down	NA
000071	RERUN	5	6	down	NA
000071	EARNER	1	7	down	NA
000071	RA	8	7	down	NA
000071	SPERM	1	8	down	NA
000071	YON	7	8	down	NA
000072	PITCHER	2	1	across	NA
000072	SPAR	3	1	across	NA
000072	SE	3	6	across	NA
000072	Y	4	1	across	NA
000072	SUITE	4	3	across	NA
000072	CAKE	5	1	across	NA
000072	AL	5	6	across	NA
000072	HU	6	1	across	NA
000072	LET	6	4	across	NA
000072	OTT	7	1	across	NA
000072	RES	7	5	across	NA
000072	THOSE	8	1	across	NA
000072	T	8	7	across	NA
000072	IO	9	1	across	NA
000072	ACAI	9	4	across	NA
000072	CRITTER	10	1	across	NA
000072	PSYCHOTIC	1	2	down	NA
000072	IP	1	3	down	NA
000072	AUTHOR	4	3	down	NA
000072	TASK	1	4	down	NA
000072	TO	6	4	down	NA
000072	I	9	4	down	NA
000072	CRUEL	1	5	down	NA
000072	SAT	7	5	down	NA
000072	H	1	6	down	NA
000072	I	3	6	down	NA
000072	ERECT	5	6	down	NA
000072	ESTATE	1	7	down	NA
000072	AE	8	7	down	NA
000072	REEL	1	8	down	NA
000072	STIR	6	8	down	NA
000073	CARCASS	2	1	across	NA
000073	OO	3	1	across	NA
000073	HIYA	3	4	across	NA
000073	SCOLD	4	1	across	NA
000073	X	4	7	across	NA
000073	M	5	1	across	NA
000073	BOSS	5	3	across	NA
000073	EMIR	6	1	across	NA
000073	CM	6	6	across	NA
000073	TA	7	1	across	NA
000073	INCA	7	4	across	NA
000073	INANE	8	1	across	NA
000073	C	8	7	across	NA
000073	C	9	1	across	NA
000073	REACH	9	3	across	NA
000073	SUI	10	1	across	NA
000073	THO	10	5	across	NA
000073	COSMETICS	1	2	down	NA
000073	AOC	1	3	down	NA
000073	MAN	5	3	down	NA
000073	U	9	3	down	NA
000073	R	1	4	down	NA
000073	OBI	3	4	down	NA
000073	ARI	7	4	down	NA
000073	CHLORINE	1	5	down	NA
000073	AIDS	1	6	down	NA
000073	NEAT	6	6	down	NA
000073	SY	1	7	down	NA
000073	SCC	4	7	down	NA
000073	CH	8	7	down	NA
000073	SAX	1	8	down	NA
000073	MACHO	5	8	down	NA
000074	PSYCHIC	2	1	across	NA
000074	LARK	3	1	across	NA
000074	PV	3	6	across	NA
000074	AUS	4	1	across	NA
000074	COS	4	5	across	NA
000074	UN	5	1	across	NA
000074	DUD	5	4	across	NA
000074	SABER	6	1	across	NA
000074	O	6	7	across	NA
000074	I	7	1	across	NA
000074	ELBOW	7	3	across	NA
000074	BALE	8	1	across	NA
000074	NN	8	6	across	NA
000074	LETTUCE	9	1	across	NA
000074	ES	10	1	across	NA
000074	EVER	10	4	across	NA
000074	PLAUSIBLE	1	2	down	NA
000074	SAUNA	1	3	down	NA
000074	AES	7	3	down	NA
000074	YRS	1	4	down	NA
000074	BELT	5	4	down	NA
000074	CK	1	5	down	NA
000074	DELETE	4	5	down	NA
000074	H	1	6	down	NA
000074	CURB	3	6	down	NA
000074	UV	8	6	down	NA
000074	IPOD	1	7	down	NA
000074	ONCE	6	7	down	NA
000074	CVS	1	8	down	NA
000074	OWNER	5	8	down	NA
000075	AGAINST	2	1	across	NA
000075	SLAY	3	1	across	NA
000075	HY	3	6	across	NA
000075	CUR	4	1	across	NA
000075	BOP	4	5	across	NA
000075	EE	5	1	across	NA
000075	FAVE	5	4	across	NA
000075	R	6	1	across	NA
000075	SALE	6	3	across	NA
000075	TRAIL	7	1	across	NA
000075	Z	7	7	across	NA
000075	AI	8	1	across	NA
000075	LOBE	8	4	across	NA
000075	IMPETUS	9	1	across	NA
000075	NEED	10	1	across	NA
000075	YT	10	6	across	NA
000075	ASCERTAIN	1	2	down	NA
000075	GLUE	1	3	down	NA
000075	RIME	6	3	down	NA
000075	AAR	1	4	down	NA
000075	SA	5	4	down	NA
000075	PE	8	4	down	NA
000075	IY	1	5	down	NA
000075	FAILED	4	5	down	NA
000075	N	1	6	down	NA
000075	BALLOT	3	6	down	NA
000075	SHOVE	1	7	down	NA
000075	BUY	7	7	down	NA
000075	TYPE	1	8	down	NA
000075	ZEST	6	8	down	NA
000076	STUMBLE	2	1	across	NA
000076	UH	3	1	across	NA
000076	FIAT	3	4	across	NA
000076	GAS	4	1	across	NA
000076	ANH	4	5	across	NA
000076	GILT	5	1	across	NA
000076	EE	5	6	across	NA
000076	E	6	1	across	NA
000076	AUC	6	3	across	NA
000076	R	6	7	across	NA
000076	SYMBOL	7	1	across	NA
000076	TO	8	1	across	NA
000076	ALAS	8	4	across	NA
000076	EGG	9	1	across	NA
000076	AMO	9	5	across	NA
000076	DAZE	10	1	across	NA
000076	BY	10	6	across	NA
000076	SUGGESTED	1	2	down	NA
000076	THAI	1	3	down	NA
000076	YOGA	6	3	down	NA
000076	U	1	4	down	NA
000076	SLAM	3	4	down	NA
000076	GZ	8	4	down	NA
000076	MF	1	5	down	NA
000076	TUBA	4	5	down	NA
000076	E	9	5	down	NA
000076	BIA	1	6	down	NA
